about,image_url,name,title_company_location,friends,links
,,gyliu,,,
,,aiyagari,,,
Interested in learning more about the experiences of enterprises that are trying to deploy OpenStack,,Kaladhar,"Vice President, Technology Innovation,         Equinix,Redwood City",,
,,Amos,"Helion Openstack Services,         HP",,
,,Julia,Mirantis,,http://mirantis.com/blog/
"Walt is a software engineer at Hewlett-Packard currently working in the Management and Solutions Development Unit focusing on storage systems enablement.   He has been working at Hewlett-Packard since 2007.  Since 2012, he has been working on OpenStack for HP enabling several of HP s storage systems.  He became a core member of the OpenStack Cinder team in 2013 after co-authoring the Fibre Channel protocol support in OpenStack s Nova and Cinder projects.    He codeveloped the 3PAR iSCSI and FibreChannel drivers for OpenStack Cinder as well as helped develop the Cinder Fibre Channel Zone Manager.",//static.sched.org/a4/626351/avatar.jpg.75x75px.jpg,Walter A. Boring IV,"Software Engineer at Hewlett-Packard,         HP,Roseville, CA",,"http://www.facebook.com/profile.php?id=565261478,http://phphtmllib.newsblob.com"
Views expressed here are my personal opinions and not those of Cisco.,https://graph.facebook.com/511890558/picture?type=normal,Paul Mattei,"London, United Kingdom",,"http://www.facebook.com/profile.php?id=511890558,http://paul.mattei.tel"
,,Dan Harabagiu,"Senior Software Developer,         ProSiebenSat.1 Digital & Adjacent GmbH",,
,,Keith Byrne,,,
Jeff Kiely is a Principal Product Manager at Oracle in the Optimized Solutions group. He is in charge of developing and managing cloud infrastructure solutions.,,Jeff Kiely,"Principal Product Manager,         Oracle,Santa Clara, CA, U.S.A",,http://www.oracle.com/optimizedsolutions
,,Tatsuya Matsuno,"KVH,Japan",,http://www.kvhasia.com
,https://media.licdn.com/mpr/mprx/0_JhxB8kUyQMEhnHcZMTmk8FoKE4D29aQZUCwH8Fd_vjJpdEl4v67UabgSknS1vdbN4igW78RxGCJl,Ralph Bateman,"STSM, IBM Cloud,         IBM,Hursley, UK",,
,,Shilla Saebi,"Engineering Ops,         Comcast,Reston, VA",,
,//static.sched.org/a4/1351247/avatar.jpg.75x75px.jpg?931,Ikuo Kumagai,"Yokohama-shi, Kanagawa, Japan","Masayuki Igawa,Masayuki Igawa,SHIGEMATSU Mitsuhiro,takehirokaneko",http://www.facebook.com/profile.php?id=100002115860375
,,Kamal Srinivasan,,,
,,Kiran Agrahara Sreenivasa,"Principal Software Engineer,         Brocade Communications Inc,United States",,http://brocade.com
"Maish Saidel-Keesing is a virtualization architect for Cisco Video Technologies Israel in Jerusalem, he has been working in IT for 13 years, with a strong focus on virtualization for the past 8 and on OpenStack in the past 2.,He is the co-author of the,&,and has participated and a technical reviewer of the,,His blog,,, focuses on Virtualization, Architecture, Cloud and Automation and has been voted as one of the top 50 virtualization blogs over the past 5 years.,Previous Speaking engagements:,,2013, 2014,,,,",https://media.licdn.com/mpr/mprx/0_ZSvRnXwkuheadgEYZWFknbVeuTDmWORYVETknbWvPkJxns2Oqw5c4FjUCfSKoJVtMmBLMhcWzixM,Maish Saidel-Keesing,"Platform Architect,         Cisco,Jerusalem","Anne Gentle,Jesse Proudman,Caroline McCrory,Colin McNamara,Eric Wright (@DiscoPosse),Emilien Macchi,Kevin Jackson,Mark T. Voelker,Nati Shalom,Nigel Kersten,Keith Basil,Randy Bias,Rob Hirschfeld,Sean M. Collins,Scott Sanchez,Shannon McFarland,Vinny Valdez","http://twitter.com/maishsk,http://technodrone.blogspot.com"
"Adam Spiers is a Senior Software Engineer at SUSE, working on OpenStack, Pacemaker, Chef and Crowbar.  He has been a passionate supporter and developer of F/OSS since 1995, with a particular interest in automation.  For the last 12 years his professional focus has been on Linux-oriented enterprise technologies in the data center.  He holds a degree in Mathematics and Computation from Oxford University, and currently lives and works in London, UK.",https://media.licdn.com/mpr/mprx/0_Z3_74XUpl30G9AOuVbtK4QVglie7qNxuVhBr4bW2m6yxIre2qFP_nFjGxSHKBPY8MGTlchBoHIPf,Adam Spiers,"Senior Engineer,         SUSE,London, United Kingdom","Nicolas Thomas,Neil Levine,Rob Hirschfeld","http://twitter.com/adamspiers,http://www.facebook.com/profile.php?id=865340262,http://blog.adamspiers.org/category/geek/"
"Matthew Treinish is a part of the HP OpenStack team working to make OpenStack better. He's been an active contributor to OpenStack since the Folsom cycle. He is the QA program PTL for the Juno development cycle, a core contributor on Tempest, elastic-recheck, and a couple of smaller projects and a member of the stable-maint team.",https://media.licdn.com/mpr/mprx/0_tK6jMq8jy89lABVf-ccmMBLSy_kxjqUfrB-CMBig_LK7GKu7On9AccBPtmX8Y1siPPXinrggTiir,Matthew Treinish,"OpenStack Software Engineer,         HP,Greater New York City Area",,
,,Toshifumi Uesaka,"Executive Strategic Specialist,         NEC,Japan",,
,https://graph.facebook.com/100001750524035/picture?type=normal,Kota Tsuyuzaki,Nippon Telegraph and Telephone Corporation,,http://www.facebook.com/profile.php?id=100001750524035
,//static.sched.org/a3/1149753/avatar.jpg.75x75px.jpg,Shai Tsur,"Sr. Business Development Manager,         Seagate",,http://developers.seagate.com
,https://media.licdn.com/mpr/mprx/0_U-ft05TtNzxY1L9mJPWD06nlZ9wmPLbmJKRD06b7b1xYuTKacq0YlQ1TnZIlrGQCsADurTvZ4C86,Yuri M. Tsarev,"GoodData Corporation,Prague, Czech Republic",,"http://www.facebook.com/profile.php?id=1100732710,http://ru.opensuse.org"
"Deploy, support and maintain Telco cloud.",,Peter Tury,"Ericsson,Germany",,
,https://graph.facebook.com/628237426/picture?type=normal,Henrique Truta,"Laboratorio de Sistemas Distribuidos - LSD, UFCG,Campina Grande, Brazil",Raildo Mascena,http://www.facebook.com/profile.php?id=628237426
"Talk to me about startups, distributed systems, cloud storage, hadoop and what it takes to run distributed systems at scale in the enterprise.,,For fun talk to me about bicycle racing, bee keeping, and life in the San Francisco bay area.",https://media.licdn.com/mpr/mprx/0_fXI2TZwOcgn9Uh1sD6o0TRHmvYCQJ61sSi0PTR4YEUnn6CXV_GRhfUuKUrGMs3-naFd-myQVdKN2,Nathan Trueblood,"Principal Architect,         Mirantis,Mountain View, CA","Josh Sanderson,Joe Arnold",http://www.mirantis.com
,,Alexander Troyanovsky,"Software Architect,         Amdocs,Israel",,
